system,n_orbit_options,partition,L_orbit,top_a,top_e,top_i,top_o,top_O,top_M0,ranking,incl_group
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.017831402197067997,4.403671845070798,0.088568868,1.4059342522570195,0.827740508,0.8214564819144478,1.406098400369765,2,high
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.003328151,2.3018240831004944,0.075677215,1.3690618521491118,0.3025441604168595,0.8632619050292453,-3.651692797,2,high
1,1,"[[0, 1, 2], [3, 4, 8], [5, 6, 7]]",0.003095159,2.221714700383835,0.097431949,1.6549271206774656,0.8365098120693166,0.9313839804717295,0.8970154533008453,2,high
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.022137967851318007,4.403671845070798,0.088568868,1.4059342522570195,0.827740508,0.8214564819144478,1.406098400369765,3,high
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.001704449,2.590089230266794,0.097594654,1.4361387842467963,-3.96833313,0.9905705749542276,0.15315625557777568,3,high
1,1,"[[0, 1, 2], [3, 5, 7], [4, 6, 8]]",0.00186142,2.190307896,0.097431949,1.491500044284464,-0.800680561,0.940456148,-2.814842916,3,high
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.014341477221759996,4.403671845070798,0.088568868,1.4059342522570195,0.827740508,0.8214564819144478,1.406098400369765,0,high
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.004969772,2.6077548188959434,0.055213459,1.3901229577848593,-2.760982429,0.8621544665686638,-0.511771714,0,high
1,1,"[[0, 1, 2], [3, 7, 8], [4, 5, 6]]",0.00356265,2.4685566630372247,0.097594654,1.7288929210458281,4.8537747068495225,0.9690609915496232,-2.701963335,0,high
2,1,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.000176563,1.2970936610657224,0.05482928,1.4814626565340674,4.281683140482984,2.8263368597666263,-4.368296296,0,high
2,2,"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]",0.011446453979820003,0.936825637,0.022222222222222227,1.4260553522544046,-1.309021777,-0.344548899,-4.991024317,0,high
