system,n_orbit_options,xyzs,planet,a,e,i,o,O,M0,incl_group
6,,"[[0.5197736331857239, -0.05603715119654869, -3.6600759179859126], [1.9745206819631653, -0.07471474769933256, -3.0198021570348272], [3.1140311124680373, -0.07278019031577265, -1.7713652700078313]]",2,3.684436147,0.038770282,1.55334,0.2734505684973674,6.279290168863669,4.657838209368332,high
6,,"[[-0.8662663126786039, -0.002695847734765769, -0.35019640410670505], [0.3439302871948648, 0.0404592737310958, 0.8662633348805691], [-0.23615303769446586, -0.005658969357543885, -0.835382402195888]]",3,0.9153047071144654,0.087576006,1.55334,5.422202639695211,6.279290168863669,4.556076100384724,high
7,,"[[1.5432226217511076, -0.43262606367390744, -0.5628400618983229], [-0.32776809300526927, 0.2684131533380571, -1.6052681714794144], [-1.532801931033015, 0.5136100744155611, 0.23466336032764626]]",1,1.681376651997423,0.014531494,1.50098,4.989829512730913,2.8156105656663235,4.806547738224595,high
7,,"[[1.9843408695103713, -0.674147794845276, -0.10790316350610546], [0.8979456330940554, -0.19558638989783814, -1.8481115188411037], [-1.0401459764882206, 0.4989514755784295, -1.741432433799944]]",2,2.0901494106446408,0.00497867,1.50098,4.452666924,2.8156105656663235,5.033432266822405,high
7,,"[[-0.22620584835787638, 0.059323856334016434, 0.8867950036568696], [-0.36849509039245926, 0.15561491517464343, -0.7009305422387352], [0.7384648722659254, -0.2917200061281841, 0.40755193311290266]]",3,0.8642019220608756,0.071346918,1.50098,4.7329851033939025,2.8156105656663235,2.805809765723482,high
8,,"[[-0.6619183926484774, 0.6418724496370458, 5.629183255842114], [-0.1954993076902625, -0.6068087557262313, 5.645844474505322], [0.24509282075833524, -1.766486882018361, 5.359651599203168]]",1,5.528743932008774,0.03401642,1.50098,4.178127141078821,1.9360212323861692,3.558687197439688,high
8,,"[[-0.16706770898539544, 0.5129208612772518, -0.6246148148950355], [0.24212596191302305, -0.6753122439134341, -0.12839011918950655], [-0.09884989191255095, 0.14997960960645232, 0.8174668436537688]]",2,0.8037866042535986,0.04889617,1.50098,3.8902462079668743,1.9360212323861692,1.3949149431531784,high
8,,"[[-0.27091739123469766, 0.8377246094776996, -0.9321418435034491], [-0.16425732935509627, 0.2787620130690489, 1.2454832999418948], [0.42972403222897393, -1.0765677615841878, -0.41946877561487284]]",3,1.2880760943278813,0.011159867,1.50098,3.3094813772030705,1.9360212323861692,2.1499641654797355,high
9,,"[[0.08653973078721998, -0.06337499502487816, 0.7096313336969297], [0.24661038108634528, -0.6318354888406957, 0.2058662727260144], [0.10873533421310776, -0.4126182188729238, -0.5414160769154648]]",1,0.7178286026140865,0.036309655,1.46608,6.142377775210468,5.041612717823303,1.5308260018438913,high
9,,"[[-0.12027576801057613, -0.3158130208795632, -1.6499279261194653], [0.5700331900480315, -1.5173181954283523, 0.1389011169117165], [0.09805145175660246, 0.20171954948855256, 1.5905752060898541]]",2,1.6465589232222722,0.035497055,1.46608,0.8014189448918305,5.041612717823303,4.127751587634154,high
